ENSG00000243485	MIR1302-2HG	Gene Expression
ENSG00000237613	FAM138A	Gene Expression
ENSG00000186092	OR4F5	Gene Expression
ENSG00000238009	AL627309.1	Gene Expression
ENSG00000239945	AL627309.3	Gene Expression
ENSG00000239906	AL627309.2	Gene Expression
ENSG00000241860	AL627309.5	Gene Expression
ENSG00000241599	AL627309.4	Gene Expression
ENSG00000286448	AP006222.2	Gene Expression
ENSG00000236601	AL732372.1	Gene Expression
ENSG00000284733	OR4F29	Gene Expression
ENSG00000235146	AC114498.1	Gene Expression
ENSG00000284662	OR4F16	Gene Expression
ENSG00000229905	AL669831.2	Gene Expression
ENSG00000237491	LINC01409	Gene Expression
ENSG00000177757	FAM87B	Gene Expression
ENSG00000228794	LINC01128	Gene Expression
ENSG00000225880	LINC00115	Gene Expression
ENSG00000230368	FAM41C	Gene Expression
ENSG00000272438	AL645608.6	Gene Expression
ENSG00000230699	AL645608.2	Gene Expression
ENSG00000241180	AL645608.4	Gene Expression
ENSG00000223764	LINC02593	Gene Expression
ENSG00000187634	SAMD11	Gene Expression
ENSG00000188976	NOC2L	Gene Expression
ENSG00000187961	KLHL17	Gene Expression
ENSG00000187583	PLEKHN1	Gene Expression
ENSG00000187642	PERM1	Gene Expression
ENSG00000272512	AL645608.7	Gene Expression
ENSG00000188290	HES4	Gene Expression
ENSG00000187608	ISG15	Gene Expression
ENSG00000224969	AL645608.1	Gene Expression
ENSG00000188157	AGRN	Gene Expression
ENSG00000242590	AL645608.5	Gene Expression
ENSG00000273443	AL645608.8	Gene Expression
ENSG00000237330	RNF223	Gene Expression
ENSG00000131591	C1orf159	Gene Expression
ENSG00000285812	AL390719.3	Gene Expression
ENSG00000223823	LINC01342	Gene Expression
ENSG00000272141	AL390719.2	Gene Expression
ENSG00000205231	TTLL10-AS1	Gene Expression
ENSG00000162571	TTLL10	Gene Expression
ENSG00000186891	TNFRSF18	Gene Expression
ENSG00000186827	TNFRSF4	Gene Expression
ENSG00000078808	SDF4	Gene Expression
ENSG00000176022	B3GALT6	Gene Expression
ENSG00000184163	C1QTNF12	Gene Expression
ENSG00000260179	AL162741.1	Gene Expression
ENSG00000160087	UBE2J2	Gene Expression
ENSG00000230415	LINC01786	Gene Expression
ENSG00000162572	SCNN1D	Gene Expression
ENSG00000131584	ACAP3	Gene Expression
ENSG00000169972	PUSL1	Gene Expression
ENSG00000127054	INTS11	Gene Expression
ENSG00000240731	AL139287.1	Gene Expression
ENSG00000224051	CPTP	Gene Expression
ENSG00000169962	TAS1R3	Gene Expression
ENSG00000107404	DVL1	Gene Expression
ENSG00000162576	MXRA8	Gene Expression
ENSG00000175756	AURKAIP1	Gene Expression
ENSG00000221978	CCNL2	Gene Expression
ENSG00000224870	MRPL20-AS1	Gene Expression
ENSG00000242485	MRPL20	Gene Expression
ENSG00000272455	AL391244.2	Gene Expression
ENSG00000235098	ANKRD65	Gene Expression
ENSG00000225905	AL391244.1	Gene Expression
ENSG00000205116	TMEM88B	Gene Expression
ENSG00000225285	LINC01770	Gene Expression
ENSG00000179403	VWA1	Gene Expression
ENSG00000215915	ATAD3C	Gene Expression
ENSG00000160072	ATAD3B	Gene Expression
ENSG00000197785	ATAD3A	Gene Expression
ENSG00000205090	TMEM240	Gene Expression
ENSG00000160075	SSU72	Gene Expression
ENSG00000215014	AL645728.1	Gene Expression
ENSG00000228594	FNDC10	Gene Expression
ENSG00000286989	AL691432.4	Gene Expression
ENSG00000272106	AL691432.2	Gene Expression
ENSG00000197530	MIB2	Gene Expression
ENSG00000189409	MMP23B	Gene Expression
ENSG00000248333	CDK11B	Gene Expression
ENSG00000272004	FO704657.1	Gene Expression
ENSG00000189339	SLC35E2B	Gene Expression
ENSG00000008128	CDK11A	Gene Expression
ENSG00000215790	SLC35E2A	Gene Expression
ENSG00000008130	NADK	Gene Expression
ENSG00000078369	GNB1	Gene Expression
ENSG00000231050	AL109917.1	Gene Expression
ENSG00000169885	CALML6	Gene Expression
ENSG00000178821	TMEM52	Gene Expression
ENSG00000142609	CFAP74	Gene Expression
ENSG00000233542	AL391845.2	Gene Expression
ENSG00000187730	GABRD	Gene Expression
ENSG00000226969	AL391845.1	Gene Expression
ENSG00000067606	PRKCZ	Gene Expression
ENSG00000271806	AL590822.2	Gene Expression
ENSG00000182873	PRKCZ-AS1	Gene Expression
ENSG00000162585	FAAP20	Gene Expression
ENSG00000234396	AL590822.1	Gene Expression
ENSG00000157933	SKI	Gene Expression
ENSG00000287356	AL590822.3	Gene Expression
ENSG00000116151	MORN1	Gene Expression
ENSG00000272161	AL589739.1	Gene Expression
ENSG00000272420	AL513477.2	Gene Expression
ENSG00000157916	RER1	Gene Expression
ENSG00000157911	PEX10	Gene Expression
ENSG00000149527	PLCH2	Gene Expression
ENSG00000224387	AL139246.1	Gene Expression
ENSG00000229393	AL139246.4	Gene Expression
ENSG00000157881	PANK4	Gene Expression
ENSG00000197921	HES5	Gene Expression
ENSG00000272449	AL139246.5	Gene Expression
ENSG00000238164	TNFRSF14-AS1	Gene Expression
ENSG00000157873	TNFRSF14	Gene Expression
ENSG00000228037	AL139246.3	Gene Expression
ENSG00000157870	PRXL2B	Gene Expression
ENSG00000142606	MMEL1	Gene Expression
ENSG00000237058	AL831784.1	Gene Expression
ENSG00000215912	TTC34	Gene Expression
ENSG00000285945	AC242022.2	Gene Expression
ENSG00000283259	AC242022.1	Gene Expression
ENSG00000233234	AL592464.2	Gene Expression
ENSG00000287396	AL592464.3	Gene Expression
ENSG00000231630	AL592464.1	Gene Expression
ENSG00000284745	AL589702.1	Gene Expression
ENSG00000169717	ACTRT2	Gene Expression
ENSG00000177133	PRDM16-DT	Gene Expression
ENSG00000142611	PRDM16	Gene Expression
ENSG00000226286	AL008733.1	Gene Expression
ENSG00000272235	AL590438.1	Gene Expression
ENSG00000287828	AL354743.2	Gene Expression
ENSG00000286518	AL354743.1	Gene Expression
ENSG00000130762	ARHGEF16	Gene Expression
ENSG00000272088	AL512413.1	Gene Expression
ENSG00000162591	MEGF6	Gene Expression
ENSG00000238260	AL513320.1	Gene Expression
ENSG00000158109	TPRG1L	Gene Expression
ENSG00000116213	WRAP73	Gene Expression
ENSG00000078900	TP73	Gene Expression
ENSG00000227589	AL136528.1	Gene Expression
ENSG00000235131	AL136528.2	Gene Expression
ENSG00000162592	CCDC27	Gene Expression
ENSG00000235169	SMIM1	Gene Expression
ENSG00000130764	LRRC47	Gene Expression
ENSG00000272153	AL365330.1	Gene Expression
ENSG00000116198	CEP104	Gene Expression
ENSG00000169598	DFFB	Gene Expression
ENSG00000198912	C1orf174	Gene Expression
ENSG00000236423	LINC01134	Gene Expression
ENSG00000233304	LINC01346	Gene Expression
ENSG00000226374	LINC01345	Gene Expression
